date-and-time,path-to-experiment,model-version,simulation-id,ticks,file-type,file-name,documentation-notes,population-input,genotype-input,plant-annual-cycle,plant-seasonality,plant-minimum-neighbors,plant-maximum-neighbors,plant-daily-cycle,plant-quality,world-width,world-height,deterioration-rate,selection-rate,collect-data?,selection-on?,useful-commands,command-input
11:43:57.226 AM 19-Nov-2019,../data/,1.0.2,s54BQO,0,simulation,s54BQO,"Simulation s54BQO created. ",population,,1000,25,2.5,8,10,1,100,100,-0.01,1.0E-4,true,false,help-me,"[ true ""am"" ""cf"" ""MAT"" 0.009 ]"
11:44:10.927 AM 19-Nov-2019,../data/,1.0.2,s54BQO,0,population,population.csv,"Population population imported. ",population,,1000,25,2.5,8,10,1,100,100,-0.01,1.0E-4,true,false,help-me,"[ true ""am"" ""cf"" ""MAT"" 0.009 ]"
11:46:06.603 AM 19-Nov-2019,../data/,1.0.2,s54BQO,241,metafile,,"Printout metafile report. ",population,,1000,25,2.5,8,10,1,100,100,-0.01,1.0E-4,true,false,metafile-report,"[ true ""am"" ""cf"" ""MAT"" 0.009 ]"
07:11:58.597 PM 25-Nov-2019,../data/,1.0.2+,s66PSJ,0,simulation,s66PSJ,"Simulation s66PSJ created. ",population,,1000,25,2.5,8,10,1,100,100,-0.01,1.0E-4,true,false,help-me,"[ true ""am"" ""cf"" ""MAT"" 0.009 ]"
07:12:10.956 PM 25-Nov-2019,../data/,1.0.2+,s66PSJ,0,population,population.csv,"Population population imported. ",population,,1000,25,2.5,8,10,1,100,100,-0.01,1.0E-4,true,false,help-me,"[ true ""am"" ""cf"" ""MAT"" 0.009 ]"
07:18:56.611 PM 25-Nov-2019,../data/,1.0.2+,s66PSJ,208,metafile,,"Clear current population. ",population,,1000,25,2.5,8,10,0.1,100,100,-0.01,1.0E-4,true,false,clear-population,"[ true ""am"" ""cf"" ""MAT"" 0.009 ]"
07:40:07.820 PM 25-Nov-2019,../data/,1.0.2+,s23QVV,0,simulation,s23QVV,"Simulation s23QVV created. ",population,,1000,25,2.5,8,10,0.1,100,100,-0.01,1.0E-4,true,false,clear-population,"[ true ""am"" ""cf"" ""MAT"" 0.009 ]"
07:40:20.888 PM 25-Nov-2019,../data/,1.0.2+,s23QVV,0,population,population.csv,"Population population imported. ",population,,1000,25,2.5,8,10,0.1,100,100,-0.01,1.0E-4,true,false,clear-population,"[ true ""am"" ""cf"" ""MAT"" 0.009 ]"
07:46:40.508 PM 25-Nov-2019,../data/,1.0.2+,s23QVV,0,metafile,,"Clear current population. ",population,,1000,25,2.5,8,10,0.1,100,100,-0.01,1.0E-4,true,false,clear-population,"[ true ""am"" ""cf"" ""MAT"" 0.009 ]"
